"county","cbsa10","cbsatype10","cntyname","cbsaname10","pop10","afact"
"county","cbsa10","cbsatype10","cntyname","2010 CBSA Name","Total Pop, 2010 census","county to cbsatype10 alloc factor"
"02282","99999"," ","Yakutat Borough","99999",662,1 
"02290","99999"," ","Yukon-Koyukuk Census Area AK","99999",5588,1 
"04001","99999"," ","Apache AZ","99999",71518,1 
"04003","43420","Micro","Cochise AZ","Sierra Vista-Douglas, AZ Micropolitan Statistical Area",131346,1 
"04005","22380","Metro","Coconino AZ","Flagstaff, AZ Metropolitan Statistical Area",134421,1 
"04007","37740","Micro","Gila AZ","Payson, AZ Micropolitan Statistical Area",53597,1 
"04009","40940","Micro","Graham AZ","Safford, AZ Micropolitan Statistical Area",37220,1 
"04011","40940","Micro","Greenlee AZ","Safford, AZ Micropolitan Statistical Area",8437,1 
"04012","99999"," ","La Paz AZ","99999",20489,1 
"04013","38060","Metro","Maricopa AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",3817117,1 
"04015","29420","Metro","Mohave AZ","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",200186,1 
"04017","43320","Micro","Navajo AZ","Show Low, AZ Micropolitan Statistical Area",107449,1 
"04019","46060","Metro","Pima AZ","Tucson, AZ Metropolitan Statistical Area",980263,1 
"04021","38060","Metro","Pinal AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",375770,1 
"04023","35700","Micro","Santa Cruz AZ","Nogales, AZ Micropolitan Statistical Area",47420,1 
"04025","39140","Metro","Yavapai AZ","Prescott, AZ Metropolitan Statistical Area",211033,1 
"04027","49740","Metro","Yuma AZ","Yuma, AZ Metropolitan Statistical Area",195751,1 
"05001","99999"," ","Arkansas AR","99999",19019,1 
"05003","99999"," ","Ashley AR","99999",21853,1 
"05005","34260","Micro","Baxter AR","Mountain Home, AR Micropolitan Statistical Area",41513,1 
"05007","22220","Metro","Benton AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",221339,1 
"05009","25460","Micro","Boone AR","Harrison, AR Micropolitan Statistical Area",36903,1 
"05011","99999"," ","Bradley AR","99999",11508,1 
"05013","15780","Micro","Calhoun AR","Camden, AR Micropolitan Statistical Area",5368,1 
"05015","99999"," ","Carroll AR","99999",27446,1 
"05017","99999"," ","Chicot AR","99999",11800,1 
