,FIPS 1970,SMSA 1970,STATE 1970,COUNTY 1970,FIPS 1980,SMSA 1980,COUNTY 1980,STATE 1980,MSA NAME 1980,FIPS 1990,MSA 1990,COUNTY 1990,STATE 1990,MSA NAME 1990,FIPS 2000,MSA Code 2000,County 2000,MSA Name 2000,FIPS 2010,CBSA 2010,County 2010,CBSA Name 2010,CBSA State 2010,Metro/Micro 2010,1970 Pop,1980 Pop,1990 Pop,2000 Pop,2010 Pop,1970 Emp,1980 Emp,1990 Emp,2000 Emp,2010 Emp
3197,8063,NA,Colorado,Kit Carson,8063,NA,Kit Carson,Colorado,NA,8063,9999,Kit Carson,Colorado,NA,8063,9999,Kit Carson CO,,8063, ,Kit Carson CO, , ,,7587,7597,7131,7971,8247,3770,4275,4417,4989,5090
3198,8065,NA,Colorado,Lake,8065,NA,Lake,Colorado,NA,8065,9999,Lake,Colorado,NA,8065,9999,Lake CO,,8065, ,Lake CO, , ,,8308,8836,6053,7815,7267,4345,5951,2612,2946,2897
3199,8067,NA,Colorado,La Plata,8067,NA,La Plata,Colorado,NA,8067,9999,La Plata,Colorado,NA,8067,9999,La Plata CO,,8067,20420,La Plata CO,Durango, CO,Micro,19327,27431,32505,44228,51371,7633,14382,19786,31130,37111
3200,8069,NA,Colorado,Larimer,8069,2670,Larimer,Colorado,FORT COLLINS COLO.,8069,2670,Larimer,Colorado,Fort Collins--Loveland CO MSA,8069,2670,Larimer CO,Fort Collins-Loveland,8069,22660,Larimer CO,Fort Collins, CO,Metro,91095,150091,187299,253072,300524,35982,73957,105353,166825,189411
3201,8071,NA,Colorado,Las Animas,8071,NA,Las Animas,Colorado,NA,8071,9999,Las Animas,Colorado,NA,8071,9999,Las Animas CO,,8071, ,Las Animas CO, , ,,15821,14927,13757,15297,15394,5217,6206,5655,7663,8142
3202,8073,NA,Colorado,Lincoln,8073,NA,Lincoln,Colorado,NA,8073,9999,Lincoln,Colorado,NA,8073,9999,Lincoln CO,,8073, ,Lincoln CO, , ,,4870,4642,4525,6070,5469,2304,2514,2722,3299,3389
3203,8075,NA,Colorado,Logan,8075,NA,Logan,Colorado,NA,8075,9999,Logan,Colorado,NA,8075,9999,Logan CO,,8075,44540,Logan CO,Sterling, CO,Micro,18889,19819,17564,20699,22130,9066,11074,10333,12572,12394
3204,8077,NA,Colorado,Mesa,8077,NA,Mesa,Colorado,NA,8077,9999,Mesa,Colorado,NA,8077,2995,Mesa CO,Grand Junction,8077,24300,Mesa CO,Grand Junction, CO,Metro,54479,82796,93757,117631,146489,23121,43710,49479,69875,83263
3205,8079,NA,Colorado,Mineral,8079,NA,Mineral,Colorado,NA,8079,9999,Mineral,Colorado,NA,8079,9999,Mineral CO,,8079, ,Mineral CO, , ,,789,819,554,832,704,321,762,427,693,805
3206,8081,NA,Colorado,Moffat,8081,NA,Moffat,Colorado,NA,8081,9999,Moffat,Colorado,NA,8081,9999,Moffat CO,,8081,18780,Moffat CO,Craig, CO,Micro,6522,13191,11408,13147,13812,2916,6843,6370,7251,7600
3207,8083,NA,Colorado,Montezuma,8083,NA,Montezuma,Colorado,NA,8083,9999,Montezuma,Colorado,NA,8083,9999,Montezuma CO,,8083, ,Montezuma CO, , ,,13047,16666,18732,23847,25548,5156,7251,9459,13636,14051
3208,8085,NA,Colorado,Montrose,8085,NA,Montrose,Colorado,NA,8085,9999,Montrose,Colorado,NA,8085,9999,Montrose CO,,8085,33940,Montrose CO,Montrose, CO,Micro,18360,24524,24507,33599,41194,7361,12031,13552,19954,22499
3209,8087,NA,Colorado,Morgan,8087,NA,Morgan,Colorado,NA,8087,9999,Morgan,Colorado,NA,8087,9999,Morgan CO,,8087,22820,Morgan CO,Fort Morgan, CO,Micro,20272,22504,21962,27257,28172,8722,11879,12204,15156,15664
3210,8089,NA,Colorado,Otero,8089,NA,Otero,Colorado,NA,8089,9999,Otero,Colorado,NA,8089,9999,Otero CO,,8089, ,Otero CO, , ,,23427,22577,20118,20242,18883,9130,10248,9399,10191,9313
3211,8091,NA,Colorado,Ouray,8091,NA,Ouray,Colorado,NA,8091,9999,Ouray,Colorado,NA,8091,9999,Ouray CO,,8091, ,Ouray CO, , ,,1537,1944,2309,3775,4466,955,884,1368,2520,3068
3212,8093,NA,Colorado,Park,8093,NA,Park,Colorado,NA,8093,9999,Park,Colorado,NA,8093,9999,Park CO,,8093,19740,Park CO,Denver-Aurora-Lakewood, CO,Metro,2229,5419,7215,14670,16262,662,1599,2084,5192,5323
3213,8095,NA,Colorado,Phillips,8095,NA,Phillips,Colorado,NA,8095,9999,Phillips,Colorado,NA,8095,9999,Phillips CO,,8095, ,Phillips CO, , ,,4086,4539,4199,4455,4463,2128,2365,2368,2789,2720
3214,8097,NA,Colorado,Pitkin,8097,NA,Pitkin,Colorado,NA,8097,9999,Pitkin,Colorado,NA,8097,9999,Pitkin CO,,8097,24060,Pitkin CO,Glenwood Springs, CO,Micro,6330,10350,12758,14817,17156,4463,11934,17365,21389,22327
3215,8099,NA,Colorado,Prowers,8099,NA,Prowers,Colorado,NA,8099,9999,Prowers,Colorado,NA,8099,9999,Prowers CO,,8099, ,Prowers CO, , ,,13292,13067,13338,14431,12562,5876,6717,6986,8173,7005
3216,8101,6560,Colorado,Pueblo,8101,6560,Pueblo,Colorado,PUEBLO COLO.,8101,6560,Pueblo,Colorado,Pueblo CO MSA,8101,6560,Pueblo CO,Pueblo,8101,39380,Pueblo CO,Pueblo, CO,Metro,118574,126012,123134,141800,159520,46458,53070,55119,70777,74559
3217,8103,NA,Colorado,Rio Blanco,8103,NA,Rio Blanco,Colorado,NA,8103,9999,Rio Blanco,Colorado,NA,8103,9999,Rio Blanco CO,,8103, ,Rio Blanco CO, , ,,4835,6349,6011,5986,6669,2375,4603,3648,4097,4771
3218,8105,NA,Colorado,Rio Grande,8105,NA,Rio Grande,Colorado,NA,8105,9999,Rio Grande,Colorado,NA,8105,9999,Rio Grande CO,,8105, ,Rio Grande CO, , ,,10459,10573,10764,12445,12018,4103,5144,5591,6813,6926
3219,8107,NA,Colorado,Routt,8107,NA,Routt,Colorado,NA,8107,9999,Routt,Colorado,NA,8107,9999,Routt CO,,8107,44460,Routt CO,Steamboat Springs, CO,Micro,6736,13448,14239,19815,23450,3135,9871,12181,18584,20862
3220,8109,NA,Colorado,Saguache,8109,NA,Saguache,Colorado,NA,8109,9999,Saguache,Colorado,NA,8109,9999,Saguache CO,,8109, ,Saguache CO, , ,,3843,3962,4632,5939,6136,1200,1900,2118,2706,2866
3221,8111,NA,Colorado,San Juan,8111,NA,San Juan,Colorado,NA,8111,9999,San Juan,Colorado,NA,8111,9999,San Juan CO,,8111, ,San Juan CO, , ,,825,845,749,562,708,369,472,595,406,507
3222,8113,NA,Colorado,San Miguel,8113,NA,San Miguel,Colorado,NA,8113,9999,San Miguel,Colorado,NA,8113,9999,San Miguel CO,,8113, ,San Miguel CO, , ,,1960,3192,3741,6609,7359,786,1840,3613,7216,7605
3223,8115,NA,Colorado,Sedgwick,8115,NA,Sedgwick,Colorado,NA,8115,9999,Sedgwick,Colorado,NA,8115,9999,Sedgwick CO,,8115, ,Sedgwick CO, , ,,3405,3259,2678,2746,2370,2002,1782,1563,1642,1450
3224,8117,NA,Colorado,Summit,8117,NA,Summit,Colorado,NA,8117,9999,Summit,Colorado,NA,8117,9999,Summit CO,,8117,14720,Summit CO,Breckenridge, CO,Micro,2793,8960,13124,23700,28065,1028,8079,14727,25546,24808
3225,8119,NA,Colorado,Teller,8119,1720,Teller,Colorado,COLORADO SPRINGS COLO.,8119,9999,Teller,Colorado,NA,8119,9999,Teller CO,,8119,17820,Teller CO,Colorado Springs, CO,Metro,3394,8137,12526,20655,23450,1211,2897,4150,10333,11531
3226,8121,NA,Colorado,Washington,8121,NA,Washington,Colorado,NA,8121,9999,Washington,Colorado,NA,8121,9999,Washington CO,,8121, ,Washington CO, , ,,5542,5283,4784,4939,4801,2741,2867,2982,2994,2796
3227,8123,NA,Colorado,Weld,8123,3060,Weld,Colorado,GREELEY COLO.,8123,3060,Weld,Colorado,Greeley CO MSA,8123,2082,Weld CO,Denver-Boulder-Greeley,8123,24540,Weld CO*,Greeley, CO,Metro,90012,123767,132161,182861,254166,34611,54564,66690,95715,121491
3228,8125,NA,Colorado,Yuma,8125,NA,Yuma,Colorado,NA,8125,9999,Yuma,Colorado,NA,8125,9999,Yuma CO,,8125, ,Yuma CO, , ,,8518,9672,8929,9823,10025,4156,5230,5264,6159,6815
3229,9001,NA,Connecticut,Fairfield,9001,NA,Fairfield,Connecticut,NA,9001,####,Fairfield,Connecticut,,9001,5602,Fairfield CT,New York,9001,14860,Fairfield,Bridgeport-Stamford-Norwalk, CT,Metro,792934,808703,828860,884364,919744,366252,455859,521951,577748,606009
3230,9003,NA,Connecticut,Hartford,9003,NA,Hartford,Connecticut,NA,9003,####,Hartford,Connecticut,NA,9003,9999,Hartford CT,,9003,25540,Hartford CT,Hartford-West Hartford-East Hartford, CT,Metro,818452,808940,852567,858416,895303,443340,533790,626871,615065,620862
3233,9005,NA,Connecticut,Litchfield,9005,NA,Litchfield,Connecticut,NA,9005,####,Litchfield,Connecticut,NA,9005,3280,Litchfield CT,Hartford,9005,45860,Litchfield CT,Torrington, CT,Micro,144428,157234,174462,182597,189773,54787,70244,84869,95572,94575
3238,9007,NA,Connecticut,Middlesex,9007,NA,Middlesex,Connecticut,NA,9007,####,Middlesex,Connecticut,NA,9007,9999,Middlesex CT,,9007,25540,Middlesex CT,Hartford-West Hartford-East Hartford, CT,Metro,115455,129288,143514,155593,165628,46017,61883,82674,90098,92988
3242,9011,NA,Connecticut,New London,9011,NA,New London,Connecticut,NA,9011,####,New London,Connecticut,NA,9011,9999,New London CT,,9011,35980,New London CT,Norwich-New London, CT,Metro,231405,239228,255474,259848,274067,102499,126114,149439,162099,168411
3244,9013,NA,Connecticut,Tolland,9013,NA,Tolland,Connecticut,NA,9013,####,Tolland,Connecticut,NA,9013,3280,Tolland CT,Hartford,9013,25540,Tolland CT,Hartford-West Hartford-East Hartford, CT,Metro,103855,115230,128966,136863,153208,26457,34120,48815,57125,61660
3245,9015,NA,Connecticut,Windham,9015,NA,Windham,Connecticut,NA,9015,####,Windham,Connecticut,NA,9015,9999,Windham CT,,9015,49340,Windham CT,Worcester, MA-CT,Metro,84818,92485,102758,109185,118593,33316,37258,43723,49916,51438
1,10001,NA,Delaware,Kent,10001,NA,Kent,Delaware,NA,10001,9999,Kent,Delaware,NA,10001,2190,Kent DE,Dover,10001,20100,Kent DE,Dover, DE,Metro,82633,98280,111638,127229,162990,42223,46321,58224,71729,81946
